,userName,numStar,title,reviewDate,reviewContent,numHelpful,numUnhelpful
0,Fire,5,OLED is worth it,1 week ago,"I love my switch. The quality is way better than the first switch, and definitely worth the money. Finally get to play all of the Mario, DK, Zelda games I grew up with. I guess the only downside is that you can’t play the old Pokémon games.",1,0
1,fairymichy,5,Switch Oled is a huge upgrade!,2 days ago,"The oled is shockingly clear for the price point. Colors are great they are just so vibrant and the shading and dark areas seem to pop so much more, speakers are better; it's totally worth it.",0,0
2,josh,4,Nice upgrade from the first Switch!,1 month ago,"I bought the original version of the switch, so this has been a very welcome upgrade. I play handheld much more than on the TV and the new display has been awesome! My only complaint is it is easy to transfer your switch over to the OLED, you still need to plug in game cards/ download everything so your new switch has all your stuff on it. The “Transfer” makes it look like nothing got moved and all your save data is gone , I freaked out at first. Now that I got all my games and save data back up I love the new model.",0,0
3,Hyperius,5,great!,8 months ago,"The OLED screen is far better than the nintendo switch lite I had before. The product itself is twice as big. I'm a very satisfied customer. The device itself had one small little scuff/scratch on it which sucked opening it to find that. The box looked like it had been in a few battles, maybe on the pallets or rough handling of the box in store. Overall great product though!",7,3
4,ZaidSteve,5,The upgrade is a must,7 months ago,"Honestly I was hesitant to make an upgrade to my Switch model 2018 Mario edition. But I got a chance to get my hands on the OLED version and decided to proceed and upgrade. The upgrade is not a minor but it offers some upgrades that are needed, more specifically the screen size and the picture quality and the kickstand received an upgrade and seems durable compared to the old one that broke after a month. Great buy.",2,0
5,Mike,5,Love it,1 week ago,Love it I can fit 25 or 30 games on a 1 TB microSD card. I can’t even do that on a PlayStation five or anything else weird,0,0
6,LukeR,5,Love the white controllers and the OLD screen!,1 week ago,"I love the new switch console. The white controllers are awesome, and the OLED screen is a noticeable improvement",0,0
7,HannahB,5,so fun !!,1 week ago,I LOVE IT so fun playing and can take it everywhere. even got a pink princess peach case for it,0,0
8,Jcab729,5,OLED much better,1 month ago,Much better than the original switch as far as quality of display. The only issue that still exists is the battery that doesn’t last long.,0,1
9,Ughh,5,Great!,1 month ago,This is one of my favorite game systems right now and of course Best Buy Almost always has these available.,0,0
10,Andy,5,My First Nintendo Switch!,3 months ago,"I had my Nintendo Wii for 16 years so I think it was about time for me to get a new one. I decided to purchase the white OLED, I’m so happy with my decision! I change the buttons to gold.",1,0
11,GabrielL,5,Switch For Lofe,1 week ago,the switch is something i have always wanted one of my best buys,0,0
12,Nick,5,OLED,10 months ago,"Everything you would except it to be. Nintendo doesn’t disappoint. Was lucky enough to catch it as it came in stock as you know they are sold out everywhere. If you find one, buy it.",11,0
13,Darryl,5,Nintendo Switch,1 month ago,This is a great console that you can use both outdoor and indoor. Very handy for kids and adults can enjoy too.,0,0
14,BrittM,5,Simply A Gorgeous Console,8 months ago,"I am over the moon satisfied with the OLED Switch! I never owned the first Switch model but have played on a friend's. I can definitely say purchasing the OLED for the extra money is well worth it. The increased size of the screen is fantastic for a handheld console and the OLED black is just jaw-droppingly beautiful. I love the joy-cons to controller feature as well as it makes the jump from Xbox to the Switch very smooth. The joy-cons are also comfortable by themselves. I would have to say they fit in your hand nicer than the Wii remote did, in my opinion. Nintendo just did everything right with the OLED console.  My TV is also an OLED so the transition from playing on the go to on the big screen incredible. The kickstand is wonderful. Makes playing super smooth and sharing your screen easy when friends are watching. The only thing I would suggest to Nintendo is that they make the HDMI cable longer. It is rather short and made it hard to keep my cable management clutter-free. 
Note: the top left corner has a bubble from when I put the screen protector I purchased on. There is nothing wrong with the screen itself. I play a good majority on the TV so I'm not too bothered by the bubble at the present time. I would highly recommend a screen protector so that you do not have to worry about the screen getting damaged as you slide the console into the docking station.",1,0
15,Nkopp,5,Pretty awesome,3 weeks ago,It's a Nintendo that can be portable or played on the tv so it's pretty awesome,0,0
16,Guster,5,Big upgrade,2 weeks ago,Big upgraded display. Should have came this way from the start!,0,0
17,Marksy,5,Best Game Console,1 month ago,My kids loves Nintendo Switch and Nintendo lit... Parents control modes ... Control time and see what they plays...,0,0
18,Thien,5,Worth it,1 month ago,"Bought this mainly for carrying around due to the oled screen, my old switch is permanently docked now",0,0
19,GQN90B,5,Nintendo Switch,2 weeks ago,I haven't bought a gaming system in a long time.  Love it!!!,0,0
20,Crow,5,What the switch should’ve been at launch,1 year ago,"This is definitely a great upgrade coming from the previous model. first, the OLED display is gorgeous something the original switch should of came with in my opinion, so much more vibrant and much brighter. secondly the speakers sound MUCH better with the OLED and the biggest thing for me was the inclusion of the LAN port which is fantastic. If you’re unsure about upgrading due to already having a switch and moving onto the OLED I highly recommend it.",12,10
21,Shillo,5,Loving it,3 weeks ago,I hope they don't release a new switch any time soon,0,0
22,Bozz,5,Best purchase ever,1 month ago,Love it!! Best purchase I have made! Best buy is the way to go!,0,0
23,Jake,5,Best Mobile Console,1 month ago,This console is a must!!! I would recommend this to a friend.,0,0
24,Manu90,5,Nintendo Switch oled,1 month ago,Is a great console. Play together my favorites games,0,0
25,Pons,5,Beautiful vibrant OLED,1 year ago,"It’s hard to show in pictures how beautiful the screen on this Nintendo Switch is. You have to see it for yourself in person. If you’re reading this, I’m going to assume you already own a switch or switch lite. I happened to own a Og day 1 Nintendo switch and a switch lite, and I knew I wanted this OLED switch the minute they announced it. OLED screens are a technical marvel and are truly beautiful. I like many others am a little disappointed that the switch didn’t get a new processor for better performance but I am still happy with my purchase. The screen alone makes all the games look beautiful. Colors are vivid and contrast is amazing. When you play it in a dark room, the screen looks like it’s off when a black scene is displayed. Besides the new screen, there isn’t a whole lot new with this switch, the dock was improved a little along with the kickstand on the back. That is also a welcome update as the old models always tended to fall over because the kickstand was weak and small. Games still load a little slow, when compared to phones and newer consoles, so don’t expect a speed increase. It comes with the same power adapter and joycon grip as before. Would I recommend this? Yes and No. if you love your Nintendo switch and want the new beautiful screen, then I think you’ll be very happy buying it. If you’re ok with the screen quality of the older models and want to save money, then don’t rush out and buy it. Not much has changed. If you’re on the fence, try to get your hands on one to see the display in person.",43,18
26,IamTheNumber4,5,Nice Father’s Day gift and good Idea to share with,5 months ago,"My kids and I we love it, new experience and in my case a good way to remember all the other portable games that I had in the past, 100% recommended if you want a portable console",0,0
27,Happy,5,Perfect birthday gift,2 months ago,Associate recommended this one and my son loved it for his birthday!,0,0
28,ktal,5,Better late than never,3 months ago,I’m obviously late getting on the band wagon but I love the switch!,0,0
29,Nicole,5,"5 Stars, Great Console",8 months ago,A very pretty white switch. The screen is larger and brighter compared to the original and Im very happy with my decision of purchasing this console. Best Buy was very helpful and polite during the purchasing process and pickup.,0,1
30,Aflores,5,I Love IT!,1 year ago,"I was pretty skeptical when Nintendo came out with a higher priced Switch.. I told myself “really, it’s just a bigger screen and I play it on my TV most of the time” But it really surprised me when I plugged it in and turned it on, I saw how beautiful the OLED screen is. Much better than it’s predecessor. I think I will be playing the  handheld version a little more often.",6,8
31,Anonymous,4,Really Good Item,2 weeks ago,"Really good item, I bought it for my nephew. I liked it.",0,0
32,Gbyelle,5,Amazing!,5 months ago,Its my first switch and its the OLED model w/c absolutely awesome to play!!,0,0
33,Mobin,5,Love it,4 months ago,"Love this thing, been waiting for it to be in stock",0,0
34,Shrekthegreat,5,WORTH IT,1 year ago,Definitely worth the extra $50 to get the OLED over the normal switch.. i managed to be 2nd in line at best buy 20 mins before they opened! And secured a white oled! Definitely definitely worth it if you play handheld mainly.,1,1
35,Cesar,5,Bigger screen,11 months ago,Great vivid images /great battery life/ double the internal memory / oled screen / if you have the old v1 version I would upgrade if you have v2 I would upgrade if you have the money,0,0
